学生番号,年度,学期,科目名,単位数,成績,GP, , 
21004,2022,後期,Reading & WritingⅣ,1,S,4,,
21004,2022,後期,Listening & SpeakingⅣ,1,S,4,,
21004,2022,後期,ハードウェア設計Ⅱ,2,A,3,,
21004,2022,後期,ハードウェア実験Ⅰ,2,S,4,,
21004,2022,後期,技術者倫理,2,S,4,,
21004,2022,後期,統計学,2,B,2,,
21004,2022,後期,日本国憲法,2,A,3,,
21004,2022,後期,クラウドプログラミング演習,2,A,3,,
21004,2022,後期,データ構造とアルゴリズムⅠ演習,2,S,4,,
21004,2021,前期,キャリア形成基礎論,2,B,2,,
21004,2021,前期,スポーツ科学演習,2,A,3,,
21004,2021,前期,Reading & WritingⅠ,1,S,4,,
21004,2021,前期,Listening & SpeakingⅠ,1,A,3,,
21004,2021,前期,基礎ゼミナール,2,S,4,,
21004,2021,前期,情報リテラシー,2,A,3,,
21004,2021,前期,プログラミング入門,2,S,4,,
21004,2021,前期,基礎数学,2,A,3,,
21004,2021,前期,線形代数Ⅰ,2,S,4,,
21004,2021,前期,離散数学Ⅰ,2,S,4,,
21004,2021,前期,実用国語Ⅱ（国語力）,2,A,3,,
21004,2021,前期,電気工学概論,2,A,3,,
21004,2021,後期,プログラミング基礎Ⅰ,2,S,4,,
21004,2021,後期,Reading & WritingⅡ,1,S,4,,
21004,2021,後期,Listening & SpeakingⅡ,1,S,4,,
21004,2021,後期,情報科学基礎演習,2,S,4,,
21004,2021,後期,計算機構成論Ⅰ,2,S,4,,
21004,2021,後期,線形代数Ⅱ,2,S,4,,
21004,2021,後期,微分積分Ⅰ,2,B,2,,
21004,2021,後期,基礎物理,2,C,1,,
21004,2021,後期,離散数学Ⅱ,2,S,4,,
21004,2021,後期,数理的教養Ⅰ,2,S,4,,
21004,2021,後期,機械工学概論,2,S,4,,
21004,2021,後期,モバイルプログラミング演習,2,S,4,,
21005,2022,前期,Reading & WritingⅢ,1,A,3,,
21005,2022,前期,Listening & SpeakingⅢ,1,B,2,,
21005,2022,前期,計算機構成論Ⅱ,2,B,2,,
21005,2022,前期,情報処理技術Ⅰ,2,C,1,,
21005,2022,前期,ハードウェア設計Ⅰ,2,A,3,,
21005,2022,前期,線形代数Ⅰ,2,A,3,,
21005,2022,前期,日本語表現法,2,A,3,,
21005,2022,前期,微分積分Ⅱ,2,A,3,,
21005,2022,前期,物理学,2,C,1,,
21005,2022,前期,離散数学Ⅰ,2,B,2,,
21005,2022,前期,地学の世界,2,B,2,,
21005,2022,前期,プログラミング基礎Ⅱ,2,S,4,,
21005,2022,前期,確率統計,2,C,1,,
21005,2022,前期,ＡＩプログラミング演習,2,B,2,,
21005,2022,後期,グラフィックスプログラミング演習,2,C,1,,
21005,2022,後期,データ構造とアルゴリズムⅠ,2,S,4,,
21005,2022,後期,プログラミング言語とコンパイラ,2,A,3,,
21005,2022,後期,Reading & WritingⅣ,1,S,4,,
21005,2022,後期,Listening & SpeakingⅣ,1,C,1,,
21005,2022,後期,ハードウェア設計Ⅱ,2,S,4,,
21005,2022,後期,ハードウェア実験Ⅰ,2,A,3,,
21005,2022,後期,統計学,2,A,3,,
21005,2022,後期,離散数学Ⅱ,2,A,3,,
21005,2022,後期,データ構造とアルゴリズムⅠ演習,2,S,4,,
21005,2021,前期,キャリア形成基礎論,2,B,2,,
21005,2021,前期,スポーツ科学演習,2,A,3,,
21005,2021,前期,Reading & WritingⅠ,1,A,3,,
21005,2021,前期,Listening & SpeakingⅠ,1,S,4,,
21005,2021,前期,科学・技術史,2,A,3,,
21005,2021,前期,韓国語Ⅰ,1,B,2,,
21005,2021,前期,基礎ゼミナール,2,S,4,,
21005,2021,前期,情報リテラシー,2,S,4,,
21005,2021,前期,プログラミング入門,2,S,4,,
21005,2021,前期,基礎数学,2,S,4,,
21005,2021,前期,中国語Ⅰ,1,A,3,,
21005,2021,前期,数理的教養Ⅰ,2,A,3,,
21005,2021,前期,実用国語Ⅰ（文章力）,2,B,2,,
21005,2021,前期,実践力育成演習Ａ,2,A,3,,
21005,2021,後期,プログラミング基礎Ⅰ,2,S,4,,
21005,2021,後期,Reading & WritingⅡ,1,S,4,,
21005,2021,後期,Listening & SpeakingⅡ,1,S,4,,
21005,2021,後期,情報科学基礎演習,2,S,4,,
21005,2021,後期,計算機構成論Ⅰ,2,B,2,,
21005,2021,後期,現代の政治,2,C,1,,
21005,2021,後期,心の健康,2,B,2,,
21005,2021,後期,人権・同和問題,2,B,2,,
21005,2021,後期,微分積分Ⅰ,2,S,4,,
21005,2021,後期,基礎物理,2,C,1,,
21005,2021,後期,モバイルプログラミング演習,2,A,3,,
21006,2022,前期,Reading & WritingⅢ,1,A,3,,
21006,2022,前期,Listening & SpeakingⅢ,1,S,4,,
21006,2022,前期,計算機構成論Ⅱ,2,B,2,,
21006,2022,前期,情報処理技術Ⅰ,2,C,1,,
21006,2022,前期,ハードウェア設計Ⅰ,2,C,1,,
21006,2022,前期,心理学概説,2,A,3,,
21006,2022,前期,離散数学Ⅲ,2,A,3,,
21006,2022,前期,日本語表現法,2,A,3,,
21006,2022,前期,微分積分Ⅱ,2,C,1,,
21006,2022,前期,組込みソフトウェア演習,2,B,2,,
21006,2022,前期,プログラミング基礎Ⅱ,2,A,3,,
21006,2022,前期,ＡＩプログラミング演習,2,B,2,,
21006,2022,後期,離散数学Ⅳ,2,B,2,,
21006,2022,後期,コンピュータネットワーク,2,A,3,,
21006,2022,後期,データ構造とアルゴリズムⅠ,2,B,2,,
21006,2022,後期,プログラミング言語とコンパイラ,2,B,2,,
21006,2022,後期,Reading & WritingⅣ,1,S,4,,
21006,2022,後期,Listening & SpeakingⅣ,1,S,4,,
21006,2022,後期,ハードウェア設計Ⅱ,2,C,1,,
21006,2022,後期,ハードウェア実験Ⅰ,2,A,3,,
21006,2022,後期,世界の歴史,2,S,4,,
21006,2022,後期,クラウドプログラミング演習,2,A,3,,
21006,2022,後期,データ構造とアルゴリズムⅠ演習,2,S,4,,
21006,2021,前期,キャリア形成基礎論,2,C,1,,
21006,2021,前期,フランス語Ⅰ,1,A,3,,
21006,2021,前期,Reading & WritingⅠ,1,A,3,,
21006,2021,前期,Listening & SpeakingⅠ,1,B,2,,
21006,2021,前期,基礎ゼミナール,2,S,4,,
21006,2021,前期,情報リテラシー,2,S,4,,
21006,2021,前期,プログラミング入門,2,S,4,,
21006,2021,前期,基礎数学,2,A,3,,
21006,2021,前期,線形代数Ⅰ,2,S,4,,
21006,2021,前期,離散数学Ⅰ,2,A,3,,
21006,2021,前期,数理的教養Ⅰ,2,S,4,,
21006,2021,前期,電気工学概論,2,A,3,,
21006,2021,後期,フランス語Ⅱ,1,A,3,,
21006,2021,後期,プログラミング基礎Ⅰ,2,A,3,,
21006,2021,後期,Reading & WritingⅡ,1,S,4,,
21006,2021,後期,Listening & SpeakingⅡ,1,B,2,,
21006,2021,後期,情報科学基礎演習,2,S,4,,
21006,2021,後期,計算機構成論Ⅰ,2,S,4,,
21006,2021,後期,線形代数Ⅱ,2,A,3,,
21006,2021,後期,微分積分Ⅰ,2,C,1,,
21006,2021,後期,基礎物理,2,B,2,,
21006,2021,後期,離散数学Ⅱ,2,S,4,,
21006,2021,後期,解析幾何学,2,S,4,,
21006,2021,後期,機械工学概論,2,B,2,,
21006,2021,後期,モバイルプログラミング演習,2,S,4,,
21007,2022,前期,ゲームプログラミング演習,2,A,3,,
21007,2022,前期,Reading & WritingⅢ,1,S,4,,
21007,2022,前期,Listening & SpeakingⅢ,1,S,4,,
21007,2022,前期,計算機構成論Ⅱ,2,S,4,,
21007,2022,前期,情報処理技術Ⅰ,2,A,3,,
21007,2022,前期,ハードウェア設計Ⅰ,2,S,4,,
21007,2022,前期,離散数学Ⅲ,2,S,4,,
21007,2022,前期,日本の歴史,2,A,3,,
21007,2022,前期,日本語表現法,2,A,3,,
21007,2022,前期,微分積分Ⅱ,2,A,3,,
21007,2022,前期,プログラミング基礎Ⅱ,2,S,4,,
21007,2022,前期,確率統計,2,S,4,,
21007,2022,前期,ＡＩプログラミング演習,2,A,3,,
21007,2022,後期,グラフィックスプログラミング演習,2,A,3,,
21007,2022,後期,離散数学Ⅳ,2,S,4,,
21007,2022,後期,コンピュータネットワーク,2,S,4,,
21007,2022,後期,データ構造とアルゴリズムⅠ,2,S,4,,
21007,2022,後期,プログラミング言語とコンパイラ,2,S,4,,
21007,2022,後期,Reading & WritingⅣ,1,S,4,,
21007,2022,後期,Listening & SpeakingⅣ,1,S,4,,
21007,2022,後期,初等幾何学,2,A,3,,
21007,2022,後期,ハードウェア設計Ⅱ,2,S,4,,
21007,2022,後期,ハードウェア実験Ⅰ,2,S,4,,
21007,2022,後期,技術者倫理,2,S,4,,
21007,2022,後期,微分方程式,2,S,4,,
21007,2022,後期,データ構造とアルゴリズムⅠ演習,2,S,4,,
21007,2021,前期,キャリア形成基礎論,2,C,1,,
21007,2021,前期,スポーツ科学演習,2,S,4,,
21007,2021,前期,Reading & WritingⅠ,1,S,4,,
21007,2021,前期,Listening & SpeakingⅠ,1,S,4,,
21007,2021,前期,基礎ゼミナール,2,A,3,,
21007,2021,前期,情報リテラシー,2,S,4,,
21007,2021,前期,プログラミング入門,2,A,3,,
21007,2021,前期,基礎数学,2,S,4,,
21007,2021,前期,線形代数Ⅰ,2,S,4,,
21007,2021,前期,離散数学Ⅰ,2,S,4,,
21007,2021,前期,数理的教養Ⅰ,2,S,4,,
21007,2021,前期,地理の世界,2,B,2,,
21007,2021,後期,プログラミング基礎Ⅰ,2,S,4,,
21007,2021,後期,Reading & WritingⅡ,1,S,4,,
21007,2021,後期,Listening & SpeakingⅡ,1,S,4,,
21007,2021,後期,情報科学基礎演習,2,S,4,,
21007,2021,後期,計算機構成論Ⅰ,2,S,4,,
21007,2021,後期,線形代数Ⅱ,2,S,4,,
21007,2021,後期,微分積分Ⅰ,2,A,3,,
21007,2021,後期,美学・美術史,2,A,3,,
21007,2021,後期,基礎物理,2,A,3,,
21007,2021,後期,数理的教養Ⅱ,2,S,4,,
21007,2021,後期,九産大力,2,S,4,,
21007,2021,後期,モバイルプログラミング演習,2,S,4,,
21008,2022,前期,Reading & WritingⅢ,1,B,2,,
21008,2022,前期,Listening & SpeakingⅢ,1,B,2,,
21008,2022,前期,計算機構成論Ⅱ,2,C,1,,
21008,2022,前期,現代自然科学,2,A,3,,
21008,2022,前期,ハードウェア設計Ⅰ,2,B,2,,
21008,2022,前期,情報理論・確率論,2,A,3,,
21008,2022,前期,離散数学Ⅲ,2,B,2,,
21008,2022,前期,日本語表現法,2,B,2,,
21008,2022,前期,微分積分Ⅱ,2,C,1,,
21008,2022,前期,組込みソフトウェア演習,2,C,1,,
21008,2022,前期,プログラミング基礎Ⅱ,2,A,3,,
21008,2022,前期,ＡＩプログラミング演習,2,C,1,,
21008,2022,後期,離散数学Ⅳ,2,B,2,,
21008,2022,後期,コンピュータネットワーク,2,S,4,,
21008,2022,後期,データ構造とアルゴリズムⅠ,2,C,1,,
21008,2022,後期,プログラミング言語とコンパイラ,2,B,2,,
21008,2022,後期,Reading & WritingⅣ,1,B,2,,
21008,2022,後期,Listening & SpeakingⅣ,1,S,4,,
21008,2022,後期,ハードウェア設計Ⅱ,2,A,3,,
21008,2022,後期,ハードウェア実験Ⅰ,2,E,0,,
21008,2022,後期,統計学,2,B,2,,
21008,2022,後期,クラウドプログラミング演習,2,A,3,,
21008,2022,後期,データ構造とアルゴリズムⅠ演習,2,B,2,,
21008,2021,前期,キャリア形成基礎論,2,C,1,,
21008,2021,前期,Reading & WritingⅠ,1,B,2,,
21008,2021,前期,Listening & SpeakingⅠ,1,A,3,,
21008,2021,前期,基礎ゼミナール,2,A,3,,
21008,2021,前期,情報リテラシー,2,S,4,,
21008,2021,前期,プログラミング入門,2,A,3,,
21008,2021,前期,基礎数学,2,A,3,,
21008,2021,前期,線形代数Ⅰ,2,S,4,,
21008,2021,前期,中国語Ⅰ,1,B,2,,
21008,2021,前期,日本の歴史,2,A,3,,
21008,2021,前期,離散数学Ⅰ,2,C,1,,
21008,2021,前期,数理的教養Ⅰ,2,A,3,,
21008,2021,前期,中国語会話Ⅰ,1,A,3,,
21008,2021,後期,プログラミング基礎Ⅰ,2,B,2,,
21008,2021,後期,Reading & WritingⅡ,1,B,2,,
21008,2021,後期,Listening & SpeakingⅡ,1,A,3,,
21008,2021,後期,情報科学基礎演習,2,A,3,,
21008,2021,後期,計算機構成論Ⅰ,2,A,3,,
21008,2021,後期,線形代数Ⅱ,2,B,2,,
21008,2021,後期,微分積分Ⅰ,2,C,1,,
21008,2021,後期,基礎物理,2,B,2,,
21008,2021,後期,離散数学Ⅱ,2,S,4,,
21008,2021,後期,数理的教養Ⅱ,2,B,2,,
21008,2021,後期,実践力育成演習Ｂ,2,B,2,,
21008,2021,後期,モバイルプログラミング演習,2,A,3,,
21009,2022,前期,Reading & WritingⅢ,1,S,4,,
21009,2022,前期,Listening & SpeakingⅢ,1,S,4,,
21009,2022,前期,計算機構成論Ⅱ,2,A,3,,
21009,2022,前期,情報処理技術Ⅰ,2,A,3,,
21009,2022,前期,ハードウェア設計Ⅰ,2,C,1,,
21009,2022,前期,情報理論・確率論,2,A,3,,
21009,2022,前期,離散数学Ⅲ,2,S,4,,
21009,2022,前期,日本語表現法,2,B,2,,
21009,2022,前期,微分積分Ⅱ,2,C,1,,
21009,2022,前期,組込みソフトウェア演習,2,S,4,,
21009,2022,前期,プログラミング基礎Ⅱ,2,S,4,,
21009,2022,前期,ＡＩプログラミング演習,2,S,4,,
21009,2022,後期,離散数学Ⅳ,2,S,4,,
21009,2022,後期,コンピュータネットワーク,2,S,4,,
21009,2022,後期,データ構造とアルゴリズムⅠ,2,S,4,,
21009,2022,後期,プログラミング言語とコンパイラ,2,A,3,,
21009,2022,後期,Reading & WritingⅣ,1,S,4,,
21009,2022,後期,Listening & SpeakingⅣ,1,S,4,,
21009,2022,後期,ハードウェア設計Ⅱ,2,S,4,,
21009,2022,後期,ハードウェア実験Ⅰ,2,S,4,,
21009,2022,後期,技術者倫理,2,S,4,,
21009,2022,後期,統計学,2,S,4,,
21009,2022,後期,クラウドプログラミング演習,2,B,2,,
21009,2022,後期,データ構造とアルゴリズムⅠ演習,2,S,4,,
21009,2021,前期,キャリア形成基礎論,2,C,1,,
21009,2021,前期,ドイツ語Ⅰ,1,B,2,,
21009,2021,前期,Reading & WritingⅠ,1,A,3,,
21009,2021,前期,Listening & SpeakingⅠ,1,A,3,,
21009,2021,前期,基礎ゼミナール,2,S,4,,
21009,2021,前期,情報リテラシー,2,S,4,,
21009,2021,前期,プログラミング入門,2,S,4,,
21009,2021,前期,基礎数学,2,A,3,,
21009,2021,前期,線形代数Ⅰ,2,S,4,,
21009,2021,前期,離散数学Ⅰ,2,A,3,,
21009,2021,前期,数理的教養Ⅰ,2,S,4,,
21009,2021,前期,実用国語Ⅰ（文章力）,2,A,3,,
21009,2021,前期,ドイツ語会話Ⅰ,1,A,3,,
21009,2021,後期,プログラミング基礎Ⅰ,2,S,4,,
21009,2021,後期,Reading & WritingⅡ,1,A,3,,
21009,2021,後期,Listening & SpeakingⅡ,1,A,3,,
21009,2021,後期,情報科学基礎演習,2,S,4,,
21009,2021,後期,計算機構成論Ⅰ,2,S,4,,
21009,2021,後期,線形代数Ⅱ,2,S,4,,
21009,2021,後期,哲学の世界,2,A,3,,
21009,2021,後期,微分積分Ⅰ,2,S,4,,
21009,2021,後期,基礎物理,2,B,2,,
21009,2021,後期,離散数学Ⅱ,2,S,4,,
21009,2021,後期,数理的教養Ⅱ,2,S,4,,
21009,2021,後期,モバイルプログラミング演習,2,S,4,,
21010,2022,前期,Reading & WritingⅢ,1,B,2,,
21010,2022,前期,Listening & SpeakingⅢ,1,C,1,,
21010,2022,前期,韓国語Ⅰ,1,B,2,,
21010,2022,前期,計算機構成論Ⅱ,2,C,1,,
21010,2022,前期,ハードウェア設計Ⅰ,2,B,2,,
21010,2022,前期,情報理論・確率論,2,A,3,,
21010,2022,前期,離散数学Ⅲ,2,B,2,,
21010,2022,前期,日本語表現法,2,B,2,,
21010,2022,前期,微分積分Ⅱ,2,S,4,,
21010,2022,前期,ドイツ語会話Ⅰ,1,S,4,,
21010,2022,前期,組込みソフトウェア演習,2,B,2,,
21010,2022,前期,プログラミング基礎Ⅱ,2,S,4,,
21010,2022,前期,ＡＩプログラミング演習,2,B,2,,
21010,2022,後期,離散数学Ⅳ,2,A,3,,
21010,2022,後期,コンピュータネットワーク,2,C,1,,
21010,2022,後期,データ構造とアルゴリズムⅠ,2,B,2,,
21010,2022,後期,プログラミング言語とコンパイラ,2,C,1,,
21010,2022,後期,Reading & WritingⅣ,1,B,2,,
21010,2022,後期,Listening & SpeakingⅣ,1,B,2,,
21010,2022,後期,ハードウェア設計Ⅱ,2,S,4,,
21010,2022,後期,ハードウェア実験Ⅰ,2,D,0,,
21010,2022,後期,技術者倫理,2,C,1,,
21010,2022,後期,統計学,2,B,2,,
21010,2022,後期,クラウドプログラミング演習,2,D,0,,
21010,2022,後期,データ構造とアルゴリズムⅠ演習,2,S,4,,
21010,2021,前期,キャリア形成基礎論,2,C,1,,
21010,2021,前期,ドイツ語Ⅰ,1,B,2,,
21010,2021,前期,Reading & WritingⅠ,1,A,3,,
21010,2021,前期,Listening & SpeakingⅠ,1,B,2,,
21010,2021,前期,基礎ゼミナール,2,A,3,,
21010,2021,前期,情報リテラシー,2,A,3,,
21010,2021,前期,プログラミング入門,2,A,3,,
21010,2021,前期,心理学概説,2,B,2,,
21010,2021,前期,基礎数学,2,S,4,,
21010,2021,前期,線形代数Ⅰ,2,A,3,,
21010,2021,前期,離散数学Ⅰ,2,C,1,,
21010,2021,前期,数理的教養Ⅰ,2,S,4,,
21010,2021,前期,数理的教養Ⅱ,2,A,3,,
21010,2021,後期,スポーツ科学演習,2,S,4,,
21010,2021,後期,プログラミング基礎Ⅰ,2,S,4,,
21010,2021,後期,Reading & WritingⅡ,1,A,3,,
21010,2021,後期,Listening & SpeakingⅡ,1,B,2,,
21010,2021,後期,情報科学基礎演習,2,S,4,,
21010,2021,後期,計算機構成論Ⅰ,2,A,3,,
21010,2021,後期,線形代数Ⅱ,2,S,4,,
21010,2021,後期,微分積分Ⅰ,2,S,4,,
21010,2021,後期,基礎物理,2,B,2,,
21010,2021,後期,離散数学Ⅱ,2,A,3,,
21010,2021,後期,モバイルプログラミング演習,2,A,3,,
21011,2022,前期,Reading & WritingⅢ,1,A,3,,
21011,2022,前期,Listening & SpeakingⅢ,1,A,3,,
